DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2025,ES,198,ES52,1,1250.79251,1,1,1
2025,ES,199,ES52,1,2370.35566,1,1,1
2025,ES,200,ES52,1,3637.71911,1,1,1
2025,ES,201,ES61,1,1376.87312,1,2,1
2025,ES,204,ES61,1,526.63068,1,2,1
2025,ES,205,ES61,1,853.15913,1,2,1
2025,ES,206,ES61,1,1024.52165,1,2,1
2025,ES,207,ES61,1,955.26514,1,2,1
2025,ES,208,ES61,1,770.35565,1,2,1
2025,ES,209,ES61,1,1182.70575,1,1,1
2025,ES,211,ES61,1,1001.92167,1,1,1
2025,ES,212,ES61,1,1225.61266,1,1,1
2025,ES,213,ES61,1,1352.90515,1,1,1
2025,ES,214,ES61,1,1005.70909,1,1,1
2025,ES,215,ES61,1,1005.70909,1,1,1
2025,ES,216,ES61,1,1521.95188,1,2,1
2025,ES,217,ES61,1,1616.49077,1,2,1
2025,ES,218,ES61,1,823.12232,1,2,1
2025,ES,219,ES61,1,2764.31811,1,2,1
2025,ES,220,ES61,1,1028.95376,1,2,1
2025,ES,222,ES61,1,3700.75678,1,2,1
2025,ES,223,ES61,1,822.58056,1,2,1
2025,ES,224,ES61,1,1860.73245,1,3,1
2025,ES,225,ES61,1,644.81529,1,3,1
2025,ES,226,ES61,1,1052.67826,1,2,1
2025,ES,227,ES61,1,853.54301,1,3,1
2025,ES,228,ES61,1,794.34707,1,2,1
2025,ES,229,ES61,1,1059.71590,1,2,1
2025,ES,230,ES61,1,2101.08625,1,2,1
2025,ES,231,ES41,1,1422.40347,1,1,1
2025,ES,232,ES41,1,461.24655,1,1,1
2025,ES,233,ES41,1,499.56127,1,1,1
2025,ES,234,ES41,1,366.17185,1,1,1
2025,ES,235,ES41,1,452.65852,1,1,1
2025,ES,236,ES41,1,958.26517,1,1,1
2025,ES,237,ES41,1,553.24783,1,1,1
2025,ES,238,ES41,1,472.69241,1,1,1
2025,ES,239,ES41,1,768.46032,1,3,1
2025,ES,240,ES41,1,675.51711,1,3,1
2025,ES,241,ES41,1,937.37738,1,3,1
2025,ES,243,ES41,1,1137.41090,1,3,1
2025,ES,244,ES41,1,577.26302,1,3,1
2025,ES,245,ES41,1,695.73590,1,3,1
2025,ES,246,ES41,1,1223.03044,1,3,1
2025,ES,248,ES43,1,363.66104,1,3,1
2025,ES,249,ES43,1,1232.90655,1,3,1
2025,ES,250,ES43,1,197.44729,1,3,1
2025,ES,251,ES43,1,65.25338,1,1,1
2025,ES,252,ES43,1,420.51748,1,1,1
2025,ES,253,ES43,1,258.72064,1,1,1
2025,ES,254,ES43,1,310.30551,1,1,1
2025,ES,255,ES43,1,364.02769,1,1,1
2025,ES,256,ES43,1,307.15989,1,1,1
2025,ES,257,ES43,1,306.40675,1,1,1
2025,ES,258,ES43,1,385.55516,1,1,1
2025,ES,260,ES43,1,217.63363,1,1,1
2025,ES,261,ES43,1,146.06121,1,1,1
2025,ES,262,ES43,1,587.34302,1,1,1
2025,ES,263,ES43,1,125.94032,1,1,1
2025,ES,264,ES43,1,172.59450,1,1,1
2025,ES,265,ES43,1,286.99835,1,1,1
2025,ES,266,ES43,1,392.94351,1,3,1
2025,ES,267,ES43,1,616.25531,1,3,1
2025,ES,268,ES43,1,321.18045,1,3,1
2025,ES,269,ES43,1,831.83515,1,3,1
2025,ES,270,ES43,1,129.93261,1,3,1
2025,ES,271,ES43,1,125.94032,1,1,1
2025,ES,272,ES43,1,241.83725,1,1,1
2025,ES,273,ES43,1,203.77398,1,1,1
2025,ES,274,ES43,1,310.45670,1,1,1
2025,ES,275,ES43,1,242.39341,1,1,1
2025,ES,276,ES43,1,320.14795,1,1,1
2025,ES,277,ES43,1,326.76550,1,1,1
2025,ES,279,ES43,1,212.18989,1,1,1
2025,ES,280,ES43,1,185.88071,1,1,1
2025,ES,281,ES43,1,323.83187,1,1,1
2025,ES,282,ES43,1,345.02239,1,1,1
2025,ES,283,ES43,1,289.15395,1,1,1
2025,ES,284,ES43,1,251.40073,1,2,1
2025,ES,286,ES43,1,245.48060,1,2,1
2025,ES,287,ES43,1,213.57773,1,2,1
2025,ES,289,ES43,1,333.33674,1,1,1
2025,ES,290,ES43,1,168.46580,1,1,1
2025,ES,291,ES43,1,366.77769,1,1,1
2025,ES,292,ES43,1,419.40888,1,1,1
2025,ES,293,ES43,1,544.86293,1,1,1
2025,ES,294,ES43,1,358.49018,1,1,1
2025,ES,295,ES43,1,144.55282,1,1,1
2025,ES,296,ES43,1,410.22147,1,1,1
2025,ES,297,ES43,1,223.71345,1,1,1
2025,ES,298,ES43,1,780.98147,1,3,1
2025,ES,299,ES43,1,266.75612,1,3,1
2025,ES,300,ES43,1,392.94351,1,3,1
2025,ES,301,ES43,1,564.07079,1,3,1
2025,ES,302,ES43,1,159.74809,1,3,1
2025,ES,303,ES43,1,432.38709,1,3,1
2025,ES,304,ES43,1,582.24370,1,3,1
2025,ES,305,ES43,1,747.21948,1,3,1
2025,ES,306,ES43,1,368.37682,1,3,1
2025,ES,307,ES43,1,497.71896,1,3,1
2025,ES,308,ES43,1,720.64306,1,3,1
2025,ES,309,ES43,1,1431.64208,1,3,1
2025,ES,310,ES43,1,692.76808,1,3,1
2025,ES,312,ES43,1,426.15267,1,3,1
2025,ES,313,ES43,1,268.83228,1,3,1
2025,ES,314,ES43,1,309.71521,1,3,1
2025,ES,315,ES43,1,954.75744,1,3,1
2025,ES,316,ES43,1,464.67058,1,1,1
2025,ES,317,ES43,1,464.04301,1,1,1
2025,ES,318,ES43,1,216.98854,1,1,1
2025,ES,319,ES43,1,240.54254,1,1,1
2025,ES,320,ES43,1,244.02662,1,1,1
2025,ES,321,ES43,1,152.69423,1,1,1
2025,ES,322,ES43,1,368.08617,1,1,1
2025,ES,325,ES43,1,206.69874,1,1,1
2025,ES,326,ES43,1,273.75778,1,1,1
2025,ES,327,ES43,1,453.98255,1,1,1
2025,ES,328,ES43,1,787.97174,1,1,1
2025,ES,329,ES43,1,749.36047,1,1,1
2025,ES,330,ES43,1,887.14078,1,1,1
2025,ES,331,ES43,1,1089.74887,1,1,1
2025,ES,332,ES43,1,910.07250,1,1,1
2025,ES,333,ES43,1,205.93487,1,1,1
2025,ES,334,ES43,1,914.37162,1,1,1
2025,ES,335,ES43,1,429.17506,1,1,1
2025,ES,336,ES43,1,96.47910,1,1,1
2025,ES,337,ES43,1,194.88261,1,1,1
